Date,Open,High,Low,Close,Adj Close,Volume
2018-05-31,13515.349609,13695.299805,13460.700195,13666.000000,13666.000000,0
2018-06-01,13694.250000,13785.349609,13528.650391,13558.549805,13558.549805,0
2018-06-04,13592.400391,13646.549805,13525.200195,13595.099609,13595.099609,0
2018-06-05,13625.650391,13638.750000,13363.400391,13408.900391,13408.900391,0
2018-06-06,13460.599609,13554.250000,13355.200195,13528.799805,13528.799805,0
2018-06-07,13530.549805,13714.200195,13525.349609,13683.750000,13683.750000,0
2018-06-08,13677.799805,13841.650391,13674.349609,13769.799805,13769.799805,0
2018-06-11,13807.500000,13869.549805,13755.500000,13775.099609,13775.099609,0
2018-06-12,13817.700195,13889.450195,13771.349609,13859.849609,13859.849609,0
2018-06-13,14001.200195,14074.900391,13950.150391,14034.150391,14034.150391,0
2018-06-14,13980.549805,13984.750000,13784.349609,13825.400391,13825.400391,0
2018-06-15,13868.500000,14151.750000,13841.599609,14121.500000,14121.500000,0
2018-06-18,14223.349609,14223.349609,13995.900391,14024.200195,14024.200195,0
2018-06-19,13987.599609,14028.700195,13835.700195,13849.450195,13849.450195,0
2018-06-20,13900.849609,13914.950195,13782.150391,13810.900391,13810.900391,0
2018-06-21,13856.099609,13882.400391,13751.599609,13771.700195,13771.700195,0
2018-06-22,13792.849609,13844.000000,13724.150391,13777.099609,13777.099609,0
2018-06-25,13814.000000,13918.049805,13791.000000,13865.200195,13865.200195,0
2018-06-26,13862.700195,13981.150391,13848.799805,13943.500000,13943.500000,0
2018-06-27,14005.650391,14143.299805,13966.349609,14018.400391,14018.400391,0
2018-06-28,14070.900391,14139.650391,13853.099609,13873.799805,13873.799805,0
2018-06-29,13959.150391,14020.750000,13858.700195,13989.500000,13989.500000,0
2018-07-02,14024.599609,14086.799805,13977.900391,14072.299805,14072.299805,0
2018-07-03,14100.799805,14238.900391,14074.849609,14222.549805,14222.549805,0
2018-07-04,14243.799805,14243.950195,14099.250000,14126.150391,14126.150391,0
2018-07-05,14180.299805,14184.450195,13898.900391,13970.500000,13970.500000,0
2018-07-06,14008.150391,14063.250000,13925.549805,14015.950195,14015.950195,0
2018-07-09,14111.849609,14141.150391,13993.599609,14108.849609,14108.849609,0
2018-07-10,14275.099609,14299.500000,14174.599609,14222.750000,14222.750000,0
2018-07-11,14352.150391,14629.500000,14337.549805,14536.450195,14536.450195,0
2018-07-12,14611.450195,14627.799805,14437.650391,14515.650391,14515.650391,0
2018-07-13,14559.150391,14654.549805,14462.950195,14534.900391,14534.900391,0
2018-07-16,14554.250000,14776.000000,14443.000000,14617.049805,14617.049805,0
2018-07-17,14609.549805,14709.599609,14539.599609,14618.250000,14618.250000,0
2018-07-18,14695.650391,14762.299805,14568.549805,14631.700195,14631.700195,0
2018-07-19,14638.099609,14693.450195,14420.000000,14489.849609,14489.849609,0
2018-07-20,14541.349609,14771.049805,14518.500000,14701.400391,14701.400391,0
2018-07-23,14726.700195,14726.700195,14571.599609,14683.200195,14683.200195,0
2018-07-24,14768.849609,14768.900391,14620.950195,14663.900391,14663.900391,0
2018-07-25,14697.849609,14697.849609,14539.250000,14575.349609,14575.349609,0
2018-07-26,14510.599609,14559.500000,14423.750000,14468.099609,14468.099609,0
2018-07-27,14476.450195,14553.799805,14450.150391,14517.900391,14517.900391,0
2018-07-30,14538.900391,14561.049805,14391.150391,14420.549805,14420.549805,0
2018-07-31,14432.599609,14617.750000,14386.799805,14587.799805,14587.799805,0
2018-08-01,14618.650391,14690.599609,14586.549805,14679.349609,14679.349609,0
2018-08-02,14689.099609,14739.799805,14541.349609,14552.599609,14552.599609,0
2018-08-03,14632.349609,14663.599609,14588.950195,14649.099609,14649.099609,0
