Date,Price,Open,High,Low,Change %
"Jun 27, 2019",6.897,6.957,6.957,6.88,-0.52%
"Jun 26, 2019",6.933,6.917,6.942,6.917,0.74%
"Jun 25, 2019",6.882,6.838,6.896,6.837,0.45%
"Jun 24, 2019",6.851,6.84,6.883,6.811,-0.15%
"Jun 21, 2019",6.861,6.825,6.893,6.825,1.03%
"Jun 20, 2019",6.791,6.769,6.791,6.734,-0.73%
"Jun 19, 2019",6.841,6.831,6.849,6.817,0.48%
"Jun 18, 2019",6.808,6.912,6.92,6.808,-1.77%
"Jun 17, 2019",6.931,6.933,6.947,6.915,0.17%
"Jun 14, 2019",6.919,6.993,6.997,6.914,-1.28%
"Jun 13, 2019",7.009,6.989,7.028,6.965,-0.04%
"Jun 12, 2019",7.012,7.022,7.025,6.995,-0.36%
"Jun 11, 2019",7.037,7.083,7.097,7.036,-0.57%
"Jun 10, 2019",7.077,6.984,7.087,6.983,1.48%
"Jun 07, 2019",6.974,6.951,6.984,6.948,0.62%
"Jun 06, 2019",6.931,7.012,7.012,6.876,-1.30%
"Jun 04, 2019",7.022,6.979,7.024,6.977,0.57%
"Jun 03, 2019",6.982,6.949,7.001,6.941,-0.71%
"May 31, 2019",7.032,7.075,7.077,7.03,-1.42%
"May 30, 2019",7.133,7.135,7.139,7.127,0.11%
"May 29, 2019",7.125,7.127,7.143,7.116,-0.34%
"May 28, 2019",7.149,7.177,7.179,7.135,-0.25%
"May 27, 2019",7.167,7.226,7.228,7.162,-0.82%
"May 24, 2019",7.226,7.22,7.239,7.203,-0.18%
"May 23, 2019",7.239,7.232,7.244,7.191,-0.29%
"May 22, 2019",7.26,7.302,7.308,7.26,-0.59%
"May 21, 2019",7.303,7.293,7.312,7.286,0.23%
"May 20, 2019",7.286,7.287,7.309,7.275,-1.03%
"May 17, 2019",7.362,7.397,7.397,7.36,-0.20%
"May 16, 2019",7.377,7.394,7.402,7.375,-0.03%
"May 15, 2019",7.379,7.379,7.384,7.36,0.01%
