close_time,open,high,low,close,volume,quote_volume
2018-09-07,227.99,259.48,210.79,229.03,62118.855,13883466.0
2018-09-08,228.55,233.99,213.37,214.77,47472.527,10449747.0
2018-09-09,214.77,220.38,190.11,197.16,51520.496,10496573.0
2018-09-10,197.16,208.37,185.82,195.8,37329.77,7367243.5
2018-09-11,195.73,202.77,186.44,196.66,44437.32,8631120.0
2018-09-12,196.81,199.03,176.0,185.04,83013.87,15472901.0
2018-09-13,184.8,184.82,167.0,182.78,70485.164,12238099.0
2018-09-14,182.83,214.88,182.78,211.31,90544.12,18088894.0
2018-09-15,211.25,223.91,202.53,208.71,72123.88,15423668.0
2018-09-16,208.32,227.0,208.19,221.93,16997.998,3755327.5
2018-09-17,221.39,223.0,205.62,220.08,17787.043,3854898.2
2018-09-18,220.14,225.0,192.0,196.16,50924.67,10670168.0
2018-09-19,196.0,214.39,194.0,208.53,35938.57,7361948.0
2018-09-20,208.5,214.7,196.66,209.48,49875.23,10352413.0
2018-09-21,209.52,227.68,206.8,224.3,36283.41,7783852.5
2018-09-22,224.15,252.14,220.64,247.64,74459.48,17378814.0
2018-09-23,247.58,255.89,232.6,239.93,31193.428,7489303.5
2018-09-24,240.37,249.44,237.0,244.14,19335.62,4684849.5
2018-09-25,244.44,245.76,224.5,228.05,22921.303,5365368.0
2018-09-26,227.64,227.64,203.25,218.85,43679.133,9322143.0
2018-09-27,219.4,223.0,207.21,214.42,29637.229,6381519.5
2018-09-28,214.33,234.0,210.0,228.58,46089.777,10193529.0
2018-09-29,228.53,233.65,214.32,220.94,40540.758,9110713.0
2018-09-30,220.64,236.98,212.54,230.56,32805.727,7400420.5
2018-10-01,230.14,238.47,224.0,231.96,16083.001,3723664.8
2018-10-02,232.02,234.58,218.0,229.66,13722.146,3140684.8
2018-10-03,230.38,230.74,221.39,224.83,14497.186,3278401.0
2018-10-04,224.79,225.22,210.5,218.96,38697.2,8425904.0
2018-10-05,219.01,225.0,218.12,221.07,18385.64,4093104.8
2018-10-06,221.06,230.29,218.28,226.73,14379.38,3205682.2
2018-10-07,226.54,227.19,222.0,223.06,9560.606,2140059.0
2018-10-08,223.49,225.98,220.1,224.34,11745.435,2615520.5
2018-10-09,225.06,230.98,222.2,227.79,25183.654,5718137.5
2018-10-10,227.55,228.8,224.84,226.3,13511.675,3059605.5
2018-10-11,226.29,226.47,221.11,223.14,13551.24,3024708.0
2018-10-12,223.15,223.39,185.0,188.2,71609.23,14356229.0
2018-10-13,188.16,197.89,186.89,193.61,22873.447,4430580.0
2018-10-14,193.62,199.27,193.0,196.79,13550.853,2670060.2
2018-10-15,196.96,199.5,187.45,191.85,13556.279,2645900.5
2018-10-16,191.85,219.75,189.71,204.43,103744.055,21175222.0
2018-10-17,204.44,208.26,201.99,205.69,30395.957,6210662.0
2018-10-18,205.61,206.4,200.99,203.41,29120.256,5943396.0
2018-10-19,203.7,205.95,196.63,199.29,38882.484,7856172.5
